MMM,3M Company,reports,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",1/13/1978,1/13/1978,1902,,
ABT,Abbott Laboratories,reports,Health Care,Health Care Equipment,"North Chicago, Illinois",3/31/1964,10/17/1983,1888,,
ABBV,AbbVie Inc.,reports,Health Care,Pharmaceuticals,"North Chicago, Illinois",12/31/2012,7/6/2011,2013 (1888),,
ABMD,ABIOMED Inc,reports,Health Care,Health Care Equipment,"Danvers, Massachusetts",5/31/2018,8/31/2015,1981,,
ACN,Accenture plc,reports,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",7/6/2011,5/5/1997,1989,,
ATVI,Activision Blizzard,reports,Information Technology,Home Entertainment Software,"Santa Monica, California",8/31/2015,3/20/2017,2008,,
ADBE,Adobe Systems Inc,reports,Information Technology,Application Software,"San Jose, California",5/5/1997,7/9/2015,1982,,
AMD,Advanced Micro Devices Inc,reports,Information Technology,Semiconductors,"Sunnyvale, California",3/20/2017,10/2/1998,1969,,
AAP,Advance Auto Parts,reports,Consumer Discretionary,Automotive Retail,"Roanoke, Virginia",7/9/2015,6/30/1976,1932,,
AES,AES Corp,reports,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",10/2/1998,7/1/2014,1981,,
AET,Aetna Inc,reports,Health Care,Managed Health Care,"Hartford, Connecticut",6/30/1976,5/28/1999,1810,,
AMG,Affiliated Managers Group Inc,reports,Financials,Asset Management & Custody Banks,"Beverly, Massachusetts",7/1/2014,6/5/2000,1993,,
AFL,AFLAC Inc,reports,Financials,Life & Health Insurance,"Columbus, Georgia",5/28/1999,4/30/1985,1955,,
A,Agilent Technologies Inc,reports,Health Care,Health Care Equipment,"Santa Clara, California",6/5/2000,7/12/2007,1999,,
APD,Air Products & Chemicals Inc,reports,Materials,Industrial Gases,"Allentown, Pennsylvania",4/30/1985,5/13/2016,1940,,
AKAM,Akamai Technologies Inc,reports,Information Technology,Internet Software & Services,"Cambridge, Massachusetts",7/12/2007,7/1/2016,1998,,
ALK,Alaska Air Group Inc,reports,Industrials,Airlines,"Seattle, Washington",5/13/2016,3/20/2017,1985,,
ALB,Albemarle Corp,reports,Materials,Specialty Chemicals,"Baton Rouge, Louisiana",7/1/2016,5/25/2012,1994,,
ARE,Alexandria Real Estate EquitiesInc,reports,Real Estate,Office REITs,"Pasadena, California",3/20/2017,6/19/2017,1994,,
ALXN,Alexion Pharmaceuticals,reports,Health Care,Biotechnology,"Cheshire, Connecticut",5/25/2012,12/2/2013,1992,,
ALGN,Align Technology,reports,Health Care,Health Care Supplies,"San Jose, California",6/19/2017,4/12/1999,1997,,
ALLE,Allegion,reports,Industrials,Building Products,"Dublin, Ireland",12/2/2013,12/23/2013,1908,,
AGN,"Allergan, Plc",reports,Health Care,Pharmaceuticals,"Dublin, Ireland",4/12/1999,7/1/2016,1983,,
ADS,Alliance Data Systems,reports,Information Technology,Data Processing & Outsourced Services,"Plano, Texas",12/23/2013,7/13/1995,1996,,
LNT,Alliant Energy Corp,reports,Utilities,Electric Utilities,"Madison, Wisconsin",7/1/2016,4/3/2014,1917,,
ALL,Allstate Corp,reports,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",7/13/1995,4/3/2006,1931,,
GOOGL,Alphabet Inc Class A,reports,Information Technology,Internet Software & Services,"Mountain View, California",4/3/2014,6/11/1993,1998,,
GOOG,Alphabet Inc Class C,reports,Information Technology,Internet Software & Services,"Mountain View, California",4/3/2006,11/18/2005,1998,,
MO,Altria Group Inc,reports,Consumer Staples,Tobacco,"Richmond, Virginia",3/2/2017,9/19/1991,1985,,
AMZN,Amazon.com Inc.,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",11/18/2005,3/23/2015,1994,,
AEE,Ameren Corp,reports,Utilities,Multi-Utilities,"St. Louis, Missouri",9/19/1991,5/15/1997,1902,,
AAL,American Airlines Group,reports,Industrials,Airlines,"Fort Worth, Texas",3/23/2015,6/30/1976,1934,,
AEP,American Electric Power,reports,Utilities,Electric Utilities,"Columbus, Ohio",3/2/2017,3/31/1980,1906,,
AXP,American Express Co,reports,Financials,Consumer Finance,"New York, New York",6/30/1976,11/19/2007,1850,,
AIG,"American International Group, Inc.",reports,Financials,Property & Casualty Insurance,"New York, New York",3/31/1980,3/4/2016,1919,,
AMT,American Tower Corp A,reports,Real Estate,Specialized REITs,"Boston, Massachusetts",11/19/2007,10/3/2005,,,
AWK,American Water Works Company Inc,reports,Utilities,Water Utilities,"Voorhees, New Jersey",3/4/2016,8/30/2001,1886,,
AMP,Ameriprise Financial,reports,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",10/3/2005,9/23/2013,1894,,
ABC,AmerisourceBergen Corp,reports,Health Care,Health Care Distributors,"Chesterbrook, Pennsylvania",8/30/2001,1/2/1992,1985,,
AME,AMETEK Inc.,reports,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",9/23/2013,9/30/2008,1930,,
AMGN,Amgen Inc.,reports,Health Care,Biotechnology,"Thousand Oaks, California",1/2/1992,7/28/1997,1980,,
APH,Amphenol Corp,reports,Information Technology,Electronic Components,"Wallingford, Connecticut",9/30/2008,10/12/1999,1932,,
APC,Anadarko Petroleum Corp,reports,Energy,Oil & Gas Exploration & Production,"The Woodlands, Texas",7/28/1997,9/27/2007,1959,,
ADI,"Analog Devices, Inc.",reports,Information Technology,Semiconductors,"Norwood, Massachusetts",10/12/1999,6/19/2017,1965,,
ANDV,Andeavor,reports,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",9/27/2007,7/25/2002,1968,,
ANSS,ANSYS,reports,Information Technology,Application Software,"Canonsburg, Pennsylvania",6/19/2017,4/23/1996,1969,,
ANTM,Anthem Inc.,reports,Health Care,Managed Health Care,"Indianapolis, Indiana",7/25/2002,7/26/2017,,,
AON,Aon plc,reports,Financials,Insurance Brokers,"London, United Kingdom",4/23/1996,7/28/1997,1982 (1919),,
AOS,A.O. Smith Corp,reports,Industrials,Building Products,"Milwaukee, Wisconsin",7/26/2017,3/14/2003,1916,,
APA,Apache Corporation,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",7/28/1997,11/30/1982,1954,,
AIV,Apartment Investment & Management,reports,Real Estate,Residential REITs,"Denver, Colorado",3/14/2003,3/16/1995,,,
AAPL,Apple Inc.,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",11/30/1982,12/24/2012,,,
AMAT,Applied Materials Inc.,reports,Information Technology,Semiconductor Equipment,"Santa Clara, California",3/16/1995,7/29/1981,,,
APTV,Aptiv Plc,reports,Consumer Discretionary,Auto Parts & Equipment,"Gillingham, Kent, United Kingdom",12/24/2012,3/31/1964,,,
ADM,Archer-Daniels-Midland Co,reports,Consumer Staples,Agricultural Products,"Decatur, Illinois",7/29/1981,5/31/2016,,,
ARNC,Arconic Inc.,reports,Industrials,Aerospace & Defense,"New York, New York",3/31/1964,4/10/2007,2016,,
AJG,Arthur J. Gallagher & Co.,reports,Financials,Insurance Brokers,"Itasca, Illinois",5/31/2016,11/30/1983,,,
AIZ,Assurant Inc.,reports,Financials,Multi-line Insurance,"New York, New York",4/10/2007,12/1/1989,,,
T,AT&T Inc.,reports,Telecommunication Services,Integrated Telecommunication Services,"Dallas, Texas",11/30/1983,3/31/1981,1983,,
ADSK,Autodesk Inc.,reports,Information Technology,Application Software,"San Rafael, California",12/1/1989,1/2/1997,,,
ADP,Automatic Data Processing,reports,Information Technology,Internet Software & Services,"Roseland, New Jersey",3/31/1981,1/10/2007,,,
AZO,AutoZone Inc,reports,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee",1/2/1997,12/31/1987,,,
AVB,"AvalonBay Communities, Inc.",reports,Real Estate,Residential REITs,"Arlington, Virginia[5]",1/10/2007,3/18/1994,,,
AVY,Avery Dennison Corp,reports,Materials,Paper Packaging,"Glendale, California",12/31/1987,10/31/1984,,,
BHGE,"Baker Hughes, a GE Company",reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",3/2/2017,6/30/1976,2017,,
BLL,Ball Corp,reports,Materials,Metal & Glass Containers,"Broomfield, Colorado",10/31/1984,3/31/1995,,,
